"Date_Sampled","Year","Irr_season","Depth_1","Field_ID","Soil_pH","Soluble_Salts","OM_pct","NO3_D1_ppm","Bicarb_P_ppm","SO4_ppm","ExchK_ppm","ExchCa_ppm","ExchMg_ppm","ExchNa_ppm","Zn_ppm","Fe_ppm","Mn_ppm","Cu_ppm","Boron_ppm","CEC_me_100g","treatment"
2006-07-10,2006,"During","0-12","F2",,,,0.74,12,,,20,532,1280,147,117,2.7,58.4,49.3,2.8,"Sodium"
2006-07-10,2006,"During","13-24","F2",,,,1.06,24,,,40,511,1760,91,49,3,51.8,36.8,2.8,"Sodium"
2006-07-10,2006,"During","25-36","F2",,,,0.84,36,,,21,500,1190,175,101,2.2,61.7,51,2.6,"Sodium"
2006-07-10,2006,"During","37-48","F2",,,,0.82,48,,,11,382,1250,242,342,1.4,30.3,34.6,1.8,"Sodium"
2006-12-26,2006,"After","0-12","F2",,,,0.84,12,,,20,499,1040,184,264,1.2,20.8,7.3,1.6,"Sodium"
2006-12-26,2006,"After","13-24","F2",,,,0.88,,,,25,162,1140,279,485,0.3,13.2,6.4,1.1,"Sodium"
2006-12-26,2006,"After","25-36","F2",,,,1.06,,,,23,307,1090,235,393,0.8,17.9,7.3,1.5,"Sodium"
2007-08-03,2007,"During","0-12","F2",7.3,1.5,3.8,8.4,56,59,493,1950,110,78,2.9,203,230,2.7,,12.3,"Sodium"
2007-08-03,2007,"During","13-24","F2",7.6,1.18,2.8,2,38,64,472,1450,100,102,1.2,193,261,2,,9.7,"Sodium"
2007-08-03,2007,"During","25-36","F2",8.1,1.42,1.1,1.5,10,66,87,1440,344,882,0.2,20.8,14.6,0.7,,14.1,"Sodium"
2007-08-03,2007,"During","37-48","F2",8.2,1.36,1,1,9,62,72,1410,350,908,0.2,20,11.8,1.3,,14.1,"Sodium"
2007-11-28,2007,"After","0-12","F2",7.9,1.22,1.6,14.2,24,91,516,1160,110,304,1.3,17.7,7.7,2,,9.4,"Sodium"
2007-11-28,2007,"After","13-24","F2",8.1,0.72,1.1,5,14,60,195,1220,264,611,0.6,14.4,5.9,1.4,,11.5,"Sodium"
2007-11-28,2007,"After","25-36","F2",8,0.96,0.8,3,9,68,77,1180,357,842,0.3,14.3,4.5,1.1,,12.7,"Sodium"
2007-11-28,2007,"After","37-48","F2",8.1,1.14,0.9,3.5,10,81,77,1120,351,839,0.3,13.6,3.7,1,,12.4,"Sodium"
2008-05-06,2008,"Before","0-12","F2",7.2,0.5,3.5,0.8,50,14,550,1430,122,110,2.7,123,86.2,2.6,,10.1,"Sodium"
2008-05-06,2008,"Before","13-24","F2",7.4,0.46,2.4,5.6,34,6,492,1110,208,190,1.6,40.6,20.3,2,,9.4,"Sodium"
2008-05-06,2008,"Before","25-36","F2",7.5,0.24,1.8,8.9,28,3,354,1190,228,271,1.5,43.2,22.1,2,,9.9,"Sodium"
2008-05-06,2008,"Before","37-48","F2",8,0.4,1.7,6.8,23,7,275,1160,237,310,1.5,58,30.1,1.9,,9.8,"Sodium"
2009-07-17,2009,"During","0-12","F2",6.6,1.1,2.8,25.3,2,43,695,1680,78,72,3.2,61.8,10.3,3.4,,12.1,"Sodium"
2009-07-17,2009,"During","13-24","F2",7.9,0.72,1,3.8,17,28,557,1070,144,280,0.6,19.6,13.8,1.6,,9.2,"Sodium"
2009-07-17,2009,"During","25-36","F2",7.9,0.9,0.9,4.8,23,37,277,1260,272,504,0.6,22.3,11,1.5,,11.5,"Sodium"
2009-07-17,2009,"During","37-48","F2",7.7,0.88,0.8,7.8,12,37,109,1130,326,836,0.8,20.4,10.9,0.8,,12.3,"Sodium"
2011-02-10,2011,"Winter","0-12","F2",,,,0.66,48,,,21,440,1280,47,80,0.5,16.3,2.9,2.1,"Sodium"
2011-02-10,2011,"Winter","13-24","F2",,,,0.62,,,,20,429,1230,42,78,0.8,20.8,2.4,2.2,"Sodium"
2011-02-10,2011,"Winter","25-36","F2",,,,0.7,,,,32,432,1390,32,147,0.2,11.7,2.5,1.3,"Sodium"
2011-02-10,2011,"Winter","37-48","F2",,,,0.72,,,,31,439,1460,58,170,0.1,10.1,2.2,1,"Sodium"
2011-07-13,2011,"During","0-12","F2",,0,,1.08,48,,,27,608,1260,152,82,3.9,73.3,10.7,3,"Sodium"
2011-07-13,2011,"During","13-24","F2",,,,0.96,,,,24,604,1290,84,111,2.1,41,6.8,2.2,"Sodium"
2011-07-13,2011,"During","25-36","F2",,,,0.98,,,,23,594,1360,94,127,2,37.5,7.3,2.1,"Sodium"
2011-07-13,2011,"During","37-48","F2",,,,0.98,,,,18,566,1250,114,112,2.5,49.6,6.7,2.4,"Sodium"
2013-06-28,2013,"Before","13-24","F2",8.1,0.4,1.1,4.2,11,4,304,1230,58,183,0.3,20.9,7.6,1.7,,8.2,"Potassium"
2013-06-28,2013,"Before","25-36","F2",8.3,0.54,1,3.3,7,5,311,1190,99,252,0.6,11.8,6.1,2.7,,8.7,"Potassium"
2013-06-28,2013,"Before","37-48","F2",8,0.62,0.9,4,8,14,94,1070,287,290,0.2,13.9,6.5,0.7,,9.2,"Potassium"
2014-06-23,2014,"Before","13-24","F2",7.8,0.42,0.9,4.3,11,4,555,1150,140,86,0.2,23.7,5.6,2.2,,8.7,"Potassium"
2014-06-23,2014,"Before","25-36","F2",7.4,0.58,0.9,3.6,12,14,435,1170,294,115,0.3,30.2,7.1,1.6,,9.9,"Potassium"
2014-06-23,2014,"Before","37-48","F2",7.7,0.48,0.9,5.3,12,5,378,1230,228,213,0.2,22.2,6.3,1.3,,9.9,"Potassium"
2015-12-02,2015,"After","0-12","F2",7.7,1.08,2.1,34.7,28,26,1108,1490,103,29,2,30.3,15,2.1,1.1,11.3,"Potassium"
2015-12-02,2015,"After","13-24","F2",8.5,0.7,1,2.2,4,22,77,1790,389,466,0.2,8.5,7.2,0.6,1,14.4,"Potassium"
2015-08-01,2015,"During","0-12","F2",8.1,0.84,1.2,5.9,15,29,1133,1040,82,11,0.8,17.1,12.5,1.9,0.9,8.8,"Potassium"
2015-08-01,2015,"During","13-24","F2",7.9,1.26,1.2,2,6,55,178,1800,387,285,0.3,7.5,3.5,0.4,0.9,13.9,"Potassium"
2016-06-09,2016,"Before","0-12","F2",,,,0.82,24,,,34,1391,1490,95,33,4.9,26.7,13.4,2.6,"Potassium"
2016-06-09,2016,"Before","13-24","F2",,,,0.86,,,,42,832,1160,266,165,0.6,9.5,17.2,1.5,"Potassium"
2005-04-01,2005,"Before","13-24","F2 ",,,,0.54,,,,27,92,1480,267,375,0.2,16.7,7,1.3,"Sodium"
2009-11-25,2009,"After","0-12","F2 ",7.2,0.96,2.8,66,41,6,653,1200,95,361,2.5,51.8,7.6,2.8,1.1,10,"Sodium"
2009-11-25,2009,"After","13-24","F2 ",8.1,0.76,1.7,30.1,30,5,579,1220,66,320,0.9,26.7,5.5,2.1,0.9,9.5,"Sodium"
2009-11-25,2009,"After","25-36","F2 ",8,0.72,1.3,13,13,7,465,1240,134,330,0.4,21.4,4.4,1.8,1.2,9.9,"Sodium"
2009-11-25,2009,"After","37-48","F2 ",8.1,0.62,1.4,17.3,16,7,442,1300,155,354,0.7,27.7,5.4,1.9,1.2,10.5,"Sodium"
2010-07-13,2010,"During","0-12","F2 ",6.2,2.4,7.3,26.5,83,398,679,1790,167,85,7.5,93.7,21,3.2,0.8,15.5,"Sodium"
2010-07-13,2010,"During","13-24","F2 ",7.5,1.24,1.7,11.2,20,71,586,1380,105,179,1,19.3,7.2,1.8,1.2,10.1,"Sodium"
